ID	AVVIG97	AVGROW97	FLEAR	FRDA1	FREAR	AVCFWHA	AVNCFWH	AVYTFNW
SYNAGAD_067	2.051185398	1.12E-07	-2.289536668	0.60276115	2.264950948	-0.291510393	-0.367949066	-0.376268001
SYNAGAD_068	1.457645925	-3.19E-09	-2.796470577	1.407668826	3.384205995	-0.159004374	-0.11322217	-0.149671707
SYNAGAD_069	2.957114067	2.26E-08	1.765934605	6.815600081	4.499857534	0.545068959	0.707139615	0.57491683
SYNAGAD_070	-1.291379002	-4.14E-09	-2.289536668	-3.019323395	-1.092814192	-0.64316159	-0.538492261	-0.630010658
SYNAGAD_071	0.520478335	5.12E-08	0.752066787	-1.81196188	-2.212069239	-0.820308277	-0.651108067	-0.856130248
SYNAGAD_072	1.207734567	-3.94E-08	-0.768734941	-0.604600365	0.026440855	-0.413607691	-0.035106153	-0.311059747
SYNAGAD_073	2.269857836	-4.90E-08	1.765934605	4.224845694	2.638035963	0.278262204	0.439098469	0.291413697
SYNAGAD_074	-1.541290359	-7.86E-08	5.821405877	1.086592953	-0.071790964	-7.41E-16	8.39E-17	3.21E-16
SYNAGAD_075	1.08277889	3.31E-08	5.314471968	5.432207209	1.145695901	1.16138395	1.282352914	1.23715885
SYNAGAD_076	1.520123764	2.64E-08	0.752066787	3.419938017	2.638035963	-0.110152264	-0.242903685	-0.096483594
SYNAGAD_077	1.332690246	5.60E-08	2.272868514	5.834661047	3.75729101	-0.479525002	-0.233044505	-0.447354971
SYNAGAD_078	-2.353502269	-7.96E-09	-5.838074031	-8.251223292	-3.331324285	-0.818160284	-0.803216323	-0.826060408
SYNAGAD_079	-0.166777895	1.12E-07	-3.303404486	-1.409508042	1.145695901	-0.575356286	-0.421378842	-0.531948687
SYNAGAD_080	3.831803815	4.46E-08	3.793670241	5.834661047	2.638035963	0.256618721	0.137719311	0.150466475
SYNAGAD_081	1.707557282	-4.62E-08	2.779802423	4.627299532	2.264950948	0.271176474	0.216730337	0.272893515
SYNAGAD_082	2.70720271	-7.48E-08	6.328339786	2.615030341	-2.212069239	-0.377589375	-0.622607752	-0.531999484
SYNAGAD_083	-0.541644931	5.98E-08	-0.768734941	0.200307311	0.772610886	-0.077129428	-0.204655133	-0.070763379
SYNAGAD_084	-1.47881252	5.51E-08	-4.317272304	-5.031592586	-1.465899208	-0.660777798	-0.472279091	-0.634920807
SYNAGAD_085	-1.291379002	1.24E-07	-1.27566885	-1.81196188	-0.719729177	-0.702880921	-0.499373614	-0.677634444
SYNAGAD_086	-1.728723877	5.79E-08	-5.838074031	-3.421777233	1.145695901	-0.86976436	-0.979101916	-0.909966932
SYNAGAD_087	-0.60412277	8.28E-08	2.272868514	-3.421777233	-4.823664348	-0.553532492	-0.514662035	-0.561649687
SYNAGAD_088	1.332690246	1.21E-07	1.765934605	-0.604600365	-1.838984223	-0.598431784	0.002226165	-0.429884969
SYNAGAD_089	-0.760317368	2.07E-08	-2.289536668	0.200307311	1.891865932	-0.249287392	-0.356377849	-0.390083886
SYNAGAD_090	-6.38E-15	-8.83E-08	-4.317272304	-3.421777233	0.026440855	0.122838169	0.417949582	0.18321066
SYNAGAD_091	3.144547583	-5.28E-08	1.259000696	5.029753371	3.75729101	-0.001493382	-0.053873566	-0.010213442
SYNAGAD_092	0.270566979	-4.04E-08	-0.768734941	-1.007054204	-0.346644161	0.110710876	0.161934927	0.096910524
SYNAGAD_093	0.582956175	8.18E-08	4.807538059	3.017484179	-0.719729177	-0.033378311	-0.217516476	-0.256273881
SYNAGAD_094	3.51941462	-7.96E-09	-0.261801032	3.419938017	3.384205995	0.024519	0.067386401	0.041991393
SYNAGAD_095	-6.38E-15	-9.40E-08	-4.824206213	-3.421777233	0.39952587	-0.702732513	-0.003012304	-0.513552503
SYNAGAD_096	1.520123762	-6.33E-08	-3.303404486	-1.409508042	1.145695901	-0.070412973	-0.266283311	-0.210889345
SYNAGAD_097	-3.88633758	-5.77E-08	-3.810338395	-3.019323395	0.026440855	-0.125662417	-0.231181278	-0.122604198
SYNAGAD_098	-1.666246038	7.23E-08	-6.851941849	-6.37310538	-0.844090848	-0.986521539	-0.852499552	-0.978867576
SYNAGAD_099	-6.38E-15	-7.39E-08	-7.358875759	-5.434046424	0.39952587	-0.177636558	0.044733674	-0.146712676
SYNAGAD_100	-6.38E-15	-8.54E-08	-2.796470577	-1.007054204	1.145695901	-0.05496409	0.177512081	-0.006724902
SYNAGAD_101	-1.010228725	-3.27E-08	-0.261801032	-1.81196188	-1.465899208	-0.113935116	0.029773595	-0.092775172
SYNAGAD_102	-6.38E-15	-9.40E-08	-4.317272304	-1.81196188	1.518780917	-0.142325837	-0.188616259	-0.279584103
SYNAGAD_103	3.019591906	-1.28E-07	4.807538059	3.017484179	-0.719729177	0.020682291	-0.137520726	0.060823233
SYNAGAD_104	0.645434015	1.21E-08	-1.27566885	-4.22668491	-2.95823927	-0.380328728	-0.267371964	-0.37210475
SYNAGAD_105	-1.666246038	-6.14E-08	6.835273695	5.029753371	-0.346644161	-0.266771973	-0.227685781	-0.220465226
SYNAGAD_106	0.458000497	-1.94E-08	0.752066787	1.810122664	1.145695901	0.076525655	0.273297994	0.122248532
SYNAGAD_107	2.894636229	2.16E-08	-3.810338395	-0.604600365	2.264950948	-0.238157121	-0.11322217	-0.214138204
SYNAGAD_108	-6.38E-15	-8.92E-08	-6.34500794	-10.93424888	-5.445472707	-0.141379228	0.15031189	-0.085113994
SYNAGAD_109	3.082069745	2.83E-08	1.259000696	3.822391856	2.638035963	0.066091694	0.051509394	0.087153775
SYNAGAD_110	-0.541644931	6.56E-08	-2.289536668	2.615030341	4.130376026	0.052412028	0.066467472	0.038167668
SYNAGAD_111	1.145256729	5.03E-08	0.752066787	0.200307311	-0.346644161	-0.22385136	0.015540415	-0.165257554
SYNAGAD_112	-2.353502269	-3.18E-08	-6.34500794	-9.190282248	-3.828770973	-0.714939768	-0.634278174	-0.716656924
SYNAGAD_113	0.333044818	-3.37E-08	4.30060415	1.810122664	-1.465899208	-0.220078383	-0.159256525	-0.289326754
SYNAGAD_114	3.331981103	-2.04E-08	2.272868514	3.822391856	1.891865932	-0.087607307	-0.492926237	-0.106227011
SYNAGAD_115	-0.041822217	-1.71E-07	5.314471968	5.029753371	0.772610886	1.200036724	1.291629491	1.222611759
SYNAGAD_116	1.08277889	-7.96E-09	5.314471968	6.237114885	1.891865932	1.178438007	1.303249243	1.20005712
SYNAGAD_117	-1.335395462	-1.14E-07	3.793670241	5.834661047	2.638035963	0.988575385	0.851412779	0.956411838
SYNAGAD_118	-0.743875254	-1.18E-07	5.314471968	5.834661047	1.518780917	1.118649664	0.860200756	1.154510751
SYNAGAD_119	-0.666600609	-7.39E-08	6.328339786	6.639568724	1.518780917	1.142073575	1.365332593	1.201197611
SYNAGAD_120	-0.166777896	1.59E-08	-3.810338395	4.224845694	6.741971134	0.911291515	0.878968168	0.898074226
SYNAGAD_121	1.082778889	-3.76E-08	4.807538059	6.237114885	2.264950948	1.134116031	0.854771514	0.990076714
SYNAGAD_122	-2.035594367	-7.20E-08	1.765934605	5.834661047	4.130376026	1.260656269	1.031146486	1.198219233
SYNAGAD_123	0.582956176	-9.20E-08	3.793670241	6.237114885	3.011120979	1.268684372	8.39E-17	1.330531829
SYNAGAD_124	2.4914582	-1.18E-08	6.835273695	8.674834049	2.795569343	0.912079221	0.713487786	0.815176203
SYNAGAD_125	2.832158386	-3.66E-08	5.821405877	7.042022562	2.264950948	0.910219674	0.709702372	0.903424055
SYNAGAD_126	-0.291733574	-4.14E-08	6.328339786	6.237114885	1.145695901	1.044267369	0.969269591	1.045514176
SYNAGAD_127	1.457645925	-1.94E-08	4.30060415	5.834661047	2.264950948	0.731531976	0.449452577	0.572731068
SYNAGAD_128	1.207734568	-3.95E-08	7.342207604	8.674834049	2.369497296	0.895308639	0.910320378	0.904459776
SYNAGAD_129	-1.916157394	7.13E-08	-4.317272304	-4.629138748	-1.092814192	-0.734386261	-0.911848156	-0.726645595
SYNAGAD_130	1.707557281	-1.46E-08	6.835273695	6.639568724	1.145695901	1.144931075	0.887748186	1.106240542
SYNAGAD_131	0.582956175	-3.95E-08	4.807538059	8.210025557	3.647713439	1.195627988	1.051793854	1.251593307
SYNAGAD_132	3.019591906	-1.08E-07	6.328339786	8.210025557	2.795569343	1.192792358	1.269893693	1.236751414
